name,ticker,latest,chg_pct,n_days,crawled_at
TNX,^TNX,4.486999988555908,0.5377586558555025,250,2026-06-17 18:32:55
SP500,^GSPC,7511.35009765625,-0.5684179609759754,251,2026-06-17 18:32:55
MSCI_World,URTH,203.10000610351562,-0.26027538505530856,251,2026-06-17 18:32:55
Gold,GC=F,4346.7001953125,0.3648270180569124,253,2026-06-17 18:32:55
Copper,HG=F,6.517499923706055,0.43920605325276085,253,2026-06-17 18:32:55
VIX,^VIX,16.329999923706055,-0.48750715691610047,253,2026-06-17 18:32:55
TIP,TIP,109.76000213623047,0.0,251,2026-06-17 18:32:55
XLI,XLI,179.85000610351562,0.6548094222599277,251,2026-06-17 18:32:55
FXI,FXI,34.560001373291016,-1.5665030689244408,251,2026-06-17 18:32:55
MCHI,MCHI,54.130001068115234,-1.4563976563189085,251,2026-06-17 18:32:55
