index,spread_usd,source
109,4.529998779296875,Calculated (Brent - WTI from yfinance)
110,4.529998779296875,Calculated (Brent - WTI from yfinance)
111,4.479999542236328,Calculated (Brent - WTI from yfinance)
112,4.650001525878906,Calculated (Brent - WTI from yfinance)
113,3.8499984741210938,Calculated (Brent - WTI from yfinance)
114,3.8100013732910156,Calculated (Brent - WTI from yfinance)
115,3.7199974060058594,Calculated (Brent - WTI from yfinance)
116,3.5900001525878906,Calculated (Brent - WTI from yfinance)
117,3.6699981689453125,Calculated (Brent - WTI from yfinance)
118,3.6100006103515625,Calculated (Brent - WTI from yfinance)
119,3.6899986267089844,Calculated (Brent - WTI from yfinance)
120,3.75,Calculated (Brent - WTI from yfinance)
121,3.6800003051757812,Calculated (Brent - WTI from yfinance)
122,3.6800003051757812,Calculated (Brent - WTI from yfinance)
123,3.740001678466797,Calculated (Brent - WTI from yfinance)
124,3.6499977111816406,Calculated (Brent - WTI from yfinance)
125,3.740001678466797,Calculated (Brent - WTI from yfinance)
126,3.6699981689453125,Calculated (Brent - WTI from yfinance)
127,3.8100013732910156,Calculated (Brent - WTI from yfinance)
128,4.060001373291016,Calculated (Brent - WTI from yfinance)
129,4.0,Calculated (Brent - WTI from yfinance)
130,3.890003204345703,Calculated (Brent - WTI from yfinance)
131,3.8999977111816406,Calculated (Brent - WTI from yfinance)
132,3.859996795654297,Calculated (Brent - WTI from yfinance)
133,3.9699974060058594,Calculated (Brent - WTI from yfinance)
134,3.4300003051757812,Calculated (Brent - WTI from yfinance)
135,3.4300003051757812,Calculated (Brent - WTI from yfinance)
136,3.4399986267089844,Calculated (Brent - WTI from yfinance)
137,3.5699996948242188,Calculated (Brent - WTI from yfinance)
138,3.9699974060058594,Calculated (Brent - WTI from yfinance)
139,4.230003356933594,Calculated (Brent - WTI from yfinance)
140,4.220001220703125,Calculated (Brent - WTI from yfinance)
141,4.369998931884766,Calculated (Brent - WTI from yfinance)
142,4.319999694824219,Calculated (Brent - WTI from yfinance)
143,4.499996185302734,Calculated (Brent - WTI from yfinance)
144,4.569999694824219,Calculated (Brent - WTI from yfinance)
145,4.689998626708984,Calculated (Brent - WTI from yfinance)
146,4.579998016357422,Calculated (Brent - WTI from yfinance)
147,4.619998931884766,Calculated (Brent - WTI from yfinance)
148,4.6999969482421875,Calculated (Brent - WTI from yfinance)
149,4.80999755859375,Calculated (Brent - WTI from yfinance)
150,4.959995269775391,Calculated (Brent - WTI from yfinance)
151,5.180000305175781,Calculated (Brent - WTI from yfinance)
152,5.19000244140625,Calculated (Brent - WTI from yfinance)
153,5.290000915527344,Calculated (Brent - WTI from yfinance)
154,5.480003356933594,Calculated (Brent - WTI from yfinance)
155,4.160003662109375,Calculated (Brent - WTI from yfinance)
156,4.120002746582031,Calculated (Brent - WTI from yfinance)
157,4.319999694824219,Calculated (Brent - WTI from yfinance)
158,4.260002136230469,Calculated (Brent - WTI from yfinance)
159,4.500003814697266,Calculated (Brent - WTI from yfinance)
160,4.680000305175781,Calculated (Brent - WTI from yfinance)
161,4.840003967285156,Calculated (Brent - WTI from yfinance)
162,4.7700042724609375,Calculated (Brent - WTI from yfinance)
163,4.679996490478516,Calculated (Brent - WTI from yfinance)
164,4.8600006103515625,Calculated (Brent - WTI from yfinance)
165,5.089996337890625,Calculated (Brent - WTI from yfinance)
166,5.159996032714844,Calculated (Brent - WTI from yfinance)
167,5.230003356933594,Calculated (Brent - WTI from yfinance)
168,5.370002746582031,Calculated (Brent - WTI from yfinance)
169,5.180000305175781,Calculated (Brent - WTI from yfinance)
170,5.1399993896484375,Calculated (Brent - WTI from yfinance)
171,5.430000305175781,Calculated (Brent - WTI from yfinance)
172,5.540000915527344,Calculated (Brent - WTI from yfinance)
173,5.4600067138671875,Calculated (Brent - WTI from yfinance)
174,6.5099945068359375,Calculated (Brent - WTI from yfinance)
175,6.840003967285156,Calculated (Brent - WTI from yfinance)
176,6.739997863769531,Calculated (Brent - WTI from yfinance)
177,4.400001525878906,Calculated (Brent - WTI from yfinance)
178,1.7900009155273438,Calculated (Brent - WTI from yfinance)
179,4.19000244140625,Calculated (Brent - WTI from yfinance)
180,4.350006103515625,Calculated (Brent - WTI from yfinance)
181,4.730003356933594,Calculated (Brent - WTI from yfinance)
182,4.7299957275390625,Calculated (Brent - WTI from yfinance)
183,4.430000305175781,Calculated (Brent - WTI from yfinance)
184,6.709999084472656,Calculated (Brent - WTI from yfinance)
185,7.209999084472656,Calculated (Brent - WTI from yfinance)
186,11.05999755859375,Calculated (Brent - WTI from yfinance)
187,12.510002136230469,Calculated (Brent - WTI from yfinance)
188,13.870002746582031,Calculated (Brent - WTI from yfinance)
189,11.810005187988281,Calculated (Brent - WTI from yfinance)
190,12.139999389648438,Calculated (Brent - WTI from yfinance)
191,11.900001525878906,Calculated (Brent - WTI from yfinance)
192,13.529998779296875,Calculated (Brent - WTI from yfinance)
193,12.930000305175781,Calculated (Brent - WTI from yfinance)
194,9.900001525878906,Calculated (Brent - WTI from yfinance)
195,16.970001220703125,Calculated (Brent - WTI from yfinance)
196,1.0400009155273438,Calculated (Brent - WTI from yfinance)
197,-2.5100021362304688,Calculated (Brent - WTI from yfinance)
198,-2.6400070190429688,Calculated (Brent - WTI from yfinance)
199,-3.6800003051757812,Calculated (Brent - WTI from yfinance)
200,0.339996337890625,Calculated (Brent - WTI from yfinance)
201,-1.9500045776367188,Calculated (Brent - WTI from yfinance)
202,-1.3700027465820312,Calculated (Brent - WTI from yfinance)
203,0.279998779296875,Calculated (Brent - WTI from yfinance)
204,3.5100021362304688,Calculated (Brent - WTI from yfinance)
205,3.6399993896484375,Calculated (Brent - WTI from yfinance)
206,4.6999969482421875,Calculated (Brent - WTI from yfinance)
207,6.529998779296875,Calculated (Brent - WTI from yfinance)
208,5.870002746582031,Calculated (Brent - WTI from yfinance)
209,6.350006103515625,Calculated (Brent - WTI from yfinance)
210,8.950004577636719,Calculated (Brent - WTI from yfinance)
211,9.220001220703125,Calculated (Brent - WTI from yfinance)
212,10.930000305175781,Calculated (Brent - WTI from yfinance)
213,11.860000610351562,Calculated (Brent - WTI from yfinance)
214,11.330001831054688,Calculated (Brent - WTI from yfinance)
215,11.150001525878906,Calculated (Brent - WTI from yfinance)
216,8.94000244140625,Calculated (Brent - WTI from yfinance)
217,6.2299957275390625,Calculated (Brent - WTI from yfinance)
218,8.020004272460938,Calculated (Brent - WTI from yfinance)
219,7.600006103515625,Calculated (Brent - WTI from yfinance)
220,6.189994812011719,Calculated (Brent - WTI from yfinance)
221,5.25,Calculated (Brent - WTI from yfinance)
222,5.870002746582031,Calculated (Brent - WTI from yfinance)
223,6.1399993896484375,Calculated (Brent - WTI from yfinance)
224,5.589996337890625,Calculated (Brent - WTI from yfinance)
225,4.6100006103515625,Calculated (Brent - WTI from yfinance)
226,4.5500030517578125,Calculated (Brent - WTI from yfinance)
227,3.8400039672851562,Calculated (Brent - WTI from yfinance)
228,3.4399948120117188,Calculated (Brent - WTI from yfinance)
229,3.5100021362304688,Calculated (Brent - WTI from yfinance)
230,6.7599945068359375,Calculated (Brent - WTI from yfinance)
231,6.230003356933594,Calculated (Brent - WTI from yfinance)
232,6.94000244140625,Calculated (Brent - WTI from yfinance)
233,5.69000244140625,Calculated (Brent - WTI from yfinance)
234,5.6100006103515625,Calculated (Brent - WTI from yfinance)
235,4.80999755859375,Calculated (Brent - WTI from yfinance)
236,4.69000244140625,Calculated (Brent - WTI from yfinance)
237,2.8199996948242188,Calculated (Brent - WTI from yfinance)
238,2.2399978637695312,Calculated (Brent - WTI from yfinance)
239,1.7900009155273438,Calculated (Brent - WTI from yfinance)
240,1.9899978637695312,Calculated (Brent - WTI from yfinance)
241,2.5499954223632812,Calculated (Brent - WTI from yfinance)
242,2.9499969482421875,Calculated (Brent - WTI from yfinance)
243,3.25,Calculated (Brent - WTI from yfinance)
244,3.0699996948242188,Calculated (Brent - WTI from yfinance)
245,2.6699981689453125,Calculated (Brent - WTI from yfinance)
246,2.4500045776367188,Calculated (Brent - WTI from yfinance)
247,2.4199981689453125,Calculated (Brent - WTI from yfinance)
248,2.9099960327148438,Calculated (Brent - WTI from yfinance)
249,2.7600021362304688,Calculated (Brent - WTI from yfinance)
250,3.25,Calculated (Brent - WTI from yfinance)
251,3.9699935913085938,Calculated (Brent - WTI from yfinance)
